"ID"	"CellType"	"Sample"
"c219"	"Epithelial_cell"	"sample1"
"c220"	"Macrophage"	"sample1"
"c221"	"Epithelial_cell"	"sample1"
"c222"	"Plasma_cell"	"sample1"
"c223"	"Macrophage"	"sample1"
"c224"	"Epithelial_cell"	"sample1"
"c225"	"CD4+_T_cell"	"sample1"
"c226"	"Epithelial_cell"	"sample1"
"c227"	"CD8+_T_cell"	"sample1"
"c228"	"Epithelial_cell"	"sample1"
"c229"	"Endothelial_cell"	"sample1"
"c230"	"NK_cell"	"sample1"
"c231"	"CD8+_T_cell"	"sample1"
"c232"	"B_cell"	"sample1"
"c233"	"Epithelial_cell"	"sample1"
"c234"	"Epithelial_cell"	"sample1"
"c235"	"Endothelial_cell"	"sample1"
"c236"	"Mast_cell"	"sample1"
"c237"	"Epithelial_cell"	"sample1"
"c238"	"Epithelial_cell"	"sample1"
"c239"	"Plasma_cell"	"sample1"
"c240"	"Plasma_cell"	"sample1"
"c241"	"Plasma_cell"	"sample1"
"c242"	"Epithelial_cell"	"sample1"
"c243"	"Epithelial_cell"	"sample1"
"c244"	"Mast_cell"	"sample1"
"c245"	"Plasma_cell"	"sample1"
"c246"	"CD4+_T_cell"	"sample1"
"c247"	"Epithelial_cell"	"sample1"
"c248"	"Epithelial_cell"	"sample1"
"c249"	"Mast_cell"	"sample1"
"c250"	"Epithelial_cell"	"sample1"
"c251"	"CD4+_T_cell"	"sample1"
"c252"	"CD4+_T_cell"	"sample1"
"c253"	"Plasma_cell"	"sample1"
"c254"	"Epithelial_cell"	"sample1"
"c255"	"B_cell"	"sample1"
"c256"	"CD8+_T_cell"	"sample1"
"c257"	"Fibroblast"	"sample1"
"c258"	"Epithelial_cell"	"sample1"
"c259"	"Plasma_cell"	"sample1"
"c260"	"Epithelial_cell"	"sample1"
"c261"	"CD4+_T_cell"	"sample1"
"c262"	"Mast_cell"	"sample1"
"c263"	"Epithelial_cell"	"sample1"
"c264"	"Mast_cell"	"sample1"
"c265"	"Epithelial_cell"	"sample1"
"c266"	"Fibroblast"	"sample1"
"c267"	"Plasma_cell"	"sample1"
"c268"	"Plasma_cell"	"sample1"
"c269"	"Epithelial_cell"	"sample1"
"c270"	"Epithelial_cell"	"sample1"
"c271"	"Epithelial_cell"	"sample1"
"c272"	"Endothelial_cell"	"sample1"
"c273"	"CD4+_T_cell"	"sample1"
"c274"	"Endothelial_cell"	"sample1"
"c275"	"Macrophage"	"sample1"
"c276"	"CD8+_T_cell"	"sample1"
"c277"	"Epithelial_cell"	"sample1"
"c278"	"B_cell"	"sample1"
"c279"	"Epithelial_cell"	"sample1"
"c280"	"Plasma_cell"	"sample1"
"c281"	"Plasma_cell"	"sample1"
"c282"	"CD8+_T_cell"	"sample1"
"c283"	"Epithelial_cell"	"sample1"
"c284"	"Fibroblast"	"sample1"
"c285"	"Epithelial_cell"	"sample1"
"c286"	"CD8+_T_cell"	"sample1"
"c287"	"CD4+_T_cell"	"sample1"
"c288"	"Epithelial_cell"	"sample1"
"c289"	"Plasma_cell"	"sample1"
"c290"	"CD4+_T_cell"	"sample1"
"c291"	"Epithelial_cell"	"sample1"
"c292"	"Epithelial_cell"	"sample1"
"c293"	"Epithelial_cell"	"sample1"
"c294"	"Epithelial_cell"	"sample1"
"c295"	"Mast_cell"	"sample1"
"c296"	"Fibroblast"	"sample1"
"c297"	"NK_cell"	"sample1"
"c298"	"Epithelial_cell"	"sample1"
"c299"	"Plasma_cell"	"sample1"
"c300"	"CD8+_T_cell"	"sample1"
"c301"	"Epithelial_cell"	"sample1"
"c302"	"Epithelial_cell"	"sample1"
"c303"	"Mast_cell"	"sample1"
"c304"	"CD8+_T_cell"	"sample1"
"c305"	"CD4+_T_cell"	"sample1"
"c306"	"CD4+_T_cell"	"sample1"
"c307"	"CD8+_T_cell"	"sample1"
"c308"	"Endothelial_cell"	"sample1"
"c309"	"Plasma_cell"	"sample1"
"c310"	"B_cell"	"sample1"
"c311"	"Epithelial_cell"	"sample1"
"c312"	"Epithelial_cell"	"sample1"
"c313"	"CD8+_T_cell"	"sample1"
"c314"	"Plasma_cell"	"sample1"
"c315"	"CD8+_T_cell"	"sample1"
"c316"	"Epithelial_cell"	"sample1"
"c317"	"CD4+_T_cell"	"sample1"
"c318"	"Epithelial_cell"	"sample1"
"c319"	"Fibroblast"	"sample1"
"c320"	"Fibroblast"	"sample1"
"c321"	"Epithelial_cell"	"sample1"
"c322"	"Plasma_cell"	"sample1"
"c323"	"B_cell"	"sample1"
"c324"	"NK_cell"	"sample1"
"c325"	"Epithelial_cell"	"sample1"
"c326"	"Epithelial_cell"	"sample1"
"c327"	"Plasma_cell"	"sample1"
"c328"	"CD8+_T_cell"	"sample1"
"c329"	"Mast_cell"	"sample1"
"c330"	"Endothelial_cell"	"sample1"
"c331"	"Endothelial_cell"	"sample1"
"c332"	"Epithelial_cell"	"sample1"
"c333"	"Epithelial_cell"	"sample1"
"c334"	"Epithelial_cell"	"sample1"
"c335"	"CD8+_T_cell"	"sample1"
"c336"	"Fibroblast"	"sample1"
"c337"	"CD8+_T_cell"	"sample1"
"c338"	"Epithelial_cell"	"sample1"
"c339"	"Fibroblast"	"sample1"
"c340"	"B_cell"	"sample1"
"c341"	"CD4+_T_cell"	"sample1"
"c342"	"Plasma_cell"	"sample1"
"c343"	"Epithelial_cell"	"sample1"
"c344"	"Endothelial_cell"	"sample1"
"c345"	"CD8+_T_cell"	"sample1"
"c346"	"Epithelial_cell"	"sample1"
"c347"	"Plasma_cell"	"sample1"
"c348"	"Epithelial_cell"	"sample1"
"c349"	"Plasma_cell"	"sample1"
"c350"	"Epithelial_cell"	"sample1"
"c351"	"Endothelial_cell"	"sample1"
"c352"	"B_cell"	"sample1"
"c353"	"Epithelial_cell"	"sample1"
"c354"	"Fibroblast"	"sample1"
"c355"	"Epithelial_cell"	"sample1"
"c356"	"Plasma_cell"	"sample1"
"c357"	"Epithelial_cell"	"sample1"
"c358"	"CD4+_T_cell"	"sample1"
"c359"	"Epithelial_cell"	"sample1"
"c360"	"Epithelial_cell"	"sample1"
"c361"	"Plasma_cell"	"sample1"
"c362"	"Plasma_cell"	"sample1"
"c363"	"Fibroblast"	"sample1"
"c364"	"Plasma_cell"	"sample1"
"c365"	"Plasma_cell"	"sample1"
"c366"	"Epithelial_cell"	"sample1"
"c367"	"Plasma_cell"	"sample1"
"c368"	"Epithelial_cell"	"sample1"
"c369"	"Mast_cell"	"sample1"
"c370"	"CD4+_T_cell"	"sample1"
"c371"	"Epithelial_cell"	"sample1"
"c372"	"CD8+_T_cell"	"sample1"
"c373"	"CD8+_T_cell"	"sample1"
"c374"	"NK_cell"	"sample1"
"c375"	"Epithelial_cell"	"sample1"
"c376"	"NK_cell"	"sample1"
"c377"	"NK_cell"	"sample1"
"c378"	"Plasma_cell"	"sample1"
"c379"	"Epithelial_cell"	"sample1"
"c380"	"Plasma_cell"	"sample1"
"c381"	"Epithelial_cell"	"sample1"
"c382"	"Plasma_cell"	"sample1"
"c383"	"Epithelial_cell"	"sample1"
"c384"	"B_cell"	"sample1"
"c385"	"Plasma_cell"	"sample1"
"c386"	"Epithelial_cell"	"sample1"
"c387"	"Epithelial_cell"	"sample1"
"c388"	"Epithelial_cell"	"sample1"
"c389"	"CD8+_T_cell"	"sample1"
"c390"	"Epithelial_cell"	"sample1"
"c391"	"CD4+_T_cell"	"sample1"
"c392"	"NK_cell"	"sample1"
"c393"	"CD8+_T_cell"	"sample1"
"c394"	"B_cell"	"sample1"
"c395"	"Fibroblast"	"sample1"
"c396"	"Epithelial_cell"	"sample1"
"c397"	"Endothelial_cell"	"sample1"
"c398"	"Plasma_cell"	"sample1"
"c399"	"Fibroblast"	"sample1"
"c400"	"Plasma_cell"	"sample1"
"c401"	"Epithelial_cell"	"sample1"
"c402"	"Endothelial_cell"	"sample1"
"c403"	"CD4+_T_cell"	"sample1"
"c404"	"Plasma_cell"	"sample1"
"c405"	"Macrophage"	"sample1"
"c406"	"Epithelial_cell"	"sample1"
"c407"	"Epithelial_cell"	"sample1"
"c408"	"Epithelial_cell"	"sample1"
"c409"	"Epithelial_cell"	"sample1"
"c410"	"CD8+_T_cell"	"sample1"
"c411"	"CD8+_T_cell"	"sample1"
"c412"	"CD8+_T_cell"	"sample1"
"c413"	"Plasma_cell"	"sample1"
"c414"	"B_cell"	"sample1"
"c415"	"Plasma_cell"	"sample1"
"c416"	"Macrophage"	"sample1"
"c417"	"Epithelial_cell"	"sample1"
"c418"	"NK_cell"	"sample1"
"c419"	"CD8+_T_cell"	"sample1"
"c420"	"NK_cell"	"sample1"
"c421"	"B_cell"	"sample1"
"c422"	"CD8+_T_cell"	"sample1"
"c423"	"CD8+_T_cell"	"sample1"
"c424"	"Fibroblast"	"sample1"
"c425"	"Epithelial_cell"	"sample1"
"c426"	"Epithelial_cell"	"sample1"
"c427"	"Epithelial_cell"	"sample1"
"c428"	"Myeloid_cell"	"sample1"
"c429"	"CD8+_T_cell"	"sample1"
"c430"	"Plasma_cell"	"sample1"
"c431"	"Epithelial_cell"	"sample1"
"c432"	"Plasma_cell"	"sample1"
"c433"	"CD4+_T_cell"	"sample1"
"c434"	"Epithelial_cell"	"sample1"
"c435"	"Epithelial_cell"	"sample1"
"c436"	"Epithelial_cell"	"sample1"
"c437"	"Plasma_cell"	"sample1"
"c438"	"CD8+_T_cell"	"sample1"
"c439"	"B_cell"	"sample1"
"c440"	"Epithelial_cell"	"sample1"
"c441"	"Fibroblast"	"sample1"
"c442"	"CD8+_T_cell"	"sample1"
"c443"	"CD4+_T_cell"	"sample1"
"c444"	"CD8+_T_cell"	"sample1"
"c445"	"Plasma_cell"	"sample1"
"c446"	"Plasma_cell"	"sample1"
"c447"	"Plasma_cell"	"sample1"
"c448"	"Plasma_cell"	"sample1"
"c449"	"Plasma_cell"	"sample1"
"c450"	"Myeloid_cell"	"sample1"
"c451"	"CD4+_T_cell"	"sample1"
"c452"	"Epithelial_cell"	"sample1"
"c453"	"B_cell"	"sample1"
"c454"	"CD4+_T_cell"	"sample1"
"c455"	"Plasma_cell"	"sample1"
"c456"	"Fibroblast"	"sample1"
"c457"	"Plasma_cell"	"sample1"
"c458"	"Epithelial_cell"	"sample1"
"c459"	"Epithelial_cell"	"sample1"
"c460"	"Epithelial_cell"	"sample1"
"c461"	"Epithelial_cell"	"sample1"
"c462"	"Epithelial_cell"	"sample1"
"c463"	"Epithelial_cell"	"sample1"
"c464"	"Plasma_cell"	"sample1"
"c465"	"Mast_cell"	"sample1"
"c466"	"Epithelial_cell"	"sample1"
"c467"	"Fibroblast"	"sample1"
"c468"	"Macrophage"	"sample1"
"c469"	"Plasma_cell"	"sample1"
"c470"	"CD4+_T_cell"	"sample1"
"c471"	"Mast_cell"	"sample1"
"c472"	"Plasma_cell"	"sample1"
"c473"	"CD8+_T_cell"	"sample1"
"c474"	"Plasma_cell"	"sample1"
"c475"	"CD8+_T_cell"	"sample1"
"c476"	"B_cell"	"sample1"
"c477"	"Plasma_cell"	"sample1"
"c478"	"Epithelial_cell"	"sample1"
"c479"	"Epithelial_cell"	"sample1"
"c480"	"Macrophage"	"sample1"
"c481"	"Plasma_cell"	"sample1"
"c482"	"CD8+_T_cell"	"sample1"
"c483"	"Plasma_cell"	"sample1"
"c484"	"Plasma_cell"	"sample1"
"c485"	"B_cell"	"sample1"
"c486"	"CD4+_T_cell"	"sample1"
"c487"	"CD8+_T_cell"	"sample1"
"c488"	"B_cell"	"sample1"
"c489"	"Epithelial_cell"	"sample1"
"c490"	"Fibroblast"	"sample1"
"c491"	"Plasma_cell"	"sample1"
"c492"	"Epithelial_cell"	"sample1"
"c493"	"Plasma_cell"	"sample1"
"c494"	"Fibroblast"	"sample1"
"c495"	"Macrophage"	"sample1"
"c496"	"Epithelial_cell"	"sample1"
"c497"	"Epithelial_cell"	"sample1"
"c498"	"NK_cell"	"sample1"
"c499"	"CD8+_T_cell"	"sample1"
"c500"	"Epithelial_cell"	"sample1"
"c501"	"Plasma_cell"	"sample1"
"c502"	"B_cell"	"sample1"
"c503"	"Fibroblast"	"sample1"
"c504"	"Epithelial_cell"	"sample1"
"c505"	"Epithelial_cell"	"sample1"
"c506"	"Epithelial_cell"	"sample1"
"c507"	"CD8+_T_cell"	"sample1"
"c508"	"Plasma_cell"	"sample1"
"c509"	"Epithelial_cell"	"sample1"
"c510"	"Plasma_cell"	"sample1"
"c511"	"Epithelial_cell"	"sample1"
"c512"	"CD8+_T_cell"	"sample1"
"c513"	"Macrophage"	"sample1"
"c514"	"Epithelial_cell"	"sample1"
"c515"	"CD8+_T_cell"	"sample1"
"c516"	"CD4+_T_cell"	"sample1"
"c517"	"Macrophage"	"sample1"
"c518"	"CD8+_T_cell"	"sample1"
"c519"	"Macrophage"	"sample1"
"c520"	"Epithelial_cell"	"sample1"
"c521"	"Epithelial_cell"	"sample1"
"c522"	"Epithelial_cell"	"sample1"
"c523"	"Fibroblast"	"sample1"
"c524"	"Epithelial_cell"	"sample1"
"c525"	"Epithelial_cell"	"sample1"
"c526"	"Endothelial_cell"	"sample1"
"c527"	"Plasma_cell"	"sample1"
"c528"	"CD4+_T_cell"	"sample1"
"c529"	"Plasma_cell"	"sample1"
"c530"	"B_cell"	"sample1"
"c531"	"Macrophage"	"sample1"
"c532"	"Fibroblast"	"sample1"
"c533"	"Epithelial_cell"	"sample1"
"c534"	"Mast_cell"	"sample1"
"c535"	"CD8+_T_cell"	"sample1"
"c536"	"Plasma_cell"	"sample1"
"c537"	"Myeloid_cell"	"sample1"
"c538"	"Myeloid_cell"	"sample1"
"c539"	"CD4+_T_cell"	"sample1"
"c540"	"Mast_cell"	"sample1"
"c541"	"Epithelial_cell"	"sample1"
"c542"	"Endothelial_cell"	"sample1"
